2026-09-06 07:46:23.753 UTC [1] LOG:  starting PostgreSQL 15.15 on x86_64-pc-linux-musl, compiled by gcc (Alpine 14.2.0) 14.2.0, 64-bit
2026-09-06 07:46:23.754 UTC [1] LOG:  listening on IPv4 address "0.0.0.0", port 5432
2026-09-06 07:46:23.754 UTC [1] LOG:  listening on IPv6 address "::", port 5432
2026-09-06 07:46:23.773 UTC [1] LOG:  listening on Unix socket "/var/run/postgresql/.s.PGSQL.5432"
2026-09-06 07:46:23.793 UTC [30] LOG:  database system was shut down at 2026-09-05 19:45:07 UTC
2026-09-06 07:46:23.840 UTC [1] LOG:  database system is ready to accept connections
2026-09-06 07:51:52.443 UTC [28] LOG:  checkpoint starting: time
2026-09-06 07:51:52.481 UTC [28] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.008 s, sync=0.003 s, total=0.043 s; sync files=2, longest=0.002 s, average=0.002 s; distance=0 kB, estimate=0 kB
2026-09-06 08:08:18.216 UTC [28] LOG:  checkpoint starting: time
2026-09-06 08:08:19.065 UTC [28] LOG:  checkpoint complete: wrote 9 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.812 s, sync=0.016 s, total=0.849 s; sync files=9, longest=0.011 s, average=0.002 s; distance=5 kB, estimate=5 kB
2026-09-06 08:13:46.650 UTC [28] LOG:  checkpoint starting: time
2026-09-06 08:13:47.700 UTC [28] LOG:  checkpoint complete: wrote 11 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.016 s, sync=0.014 s, total=1.050 s; sync files=11, longest=0.006 s, average=0.002 s; distance=8 kB, estimate=8 kB
2026-09-06 08:19:17.210 UTC [28] LOG:  checkpoint starting: time
2026-09-06 08:19:18.266 UTC [28] LOG:  checkpoint complete: wrote 11 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.011 s, sync=0.012 s, total=1.056 s; sync files=10, longest=0.007 s, average=0.002 s; distance=6 kB, estimate=8 kB
2026-09-06 08:28:36.320 UTC [83] ERROR:  duplicate key value violates unique constraint "slots_user_email_key"
2026-09-06 08:28:36.320 UTC [83] DETAIL:  Key (user_email)=(Barbino@gock.com) already exists.
2026-09-06 08:28:36.320 UTC [83] STATEMENT:  insert into slots (campaign_id,user_email,id) values ($1,$2,$3)
2026-09-06 08:30:13.905 UTC [28] LOG:  checkpoint starting: time
2026-09-06 08:30:14.139 UTC [28] LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.207 s, sync=0.007 s, total=0.235 s; sync files=3, longest=0.004 s, average=0.003 s; distance=1 kB, estimate=7 kB
2026-09-06 08:33:39.691 UTC [83] ERROR:  duplicate key value violates unique constraint "slots_user_email_key"
2026-09-06 08:33:39.691 UTC [83] DETAIL:  Key (user_email)=(Barbino@gock.com) already exists.
2026-09-06 08:33:39.691 UTC [83] STATEMENT:  insert into slots (campaign_id,user_email,id) values ($1,$2,$3)
2026-09-06 08:35:42.120 UTC [28] LOG:  checkpoint starting: time
2026-09-06 08:35:42.351 UTC [28] LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.206 s, sync=0.007 s, total=0.231 s; sync files=3, longest=0.005 s, average=0.003 s; distance=1 kB, estimate=7 kB
2026-09-06 08:41:11.396 UTC [28] LOG:  checkpoint starting: time
2026-09-06 08:41:11.838 UTC [28] LOG:  checkpoint complete: wrote 5 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.408 s, sync=0.010 s, total=0.443 s; sync files=5, longest=0.007 s, average=0.002 s; distance=5 kB, estimate=7 kB
2026-09-06 08:57:38.932 UTC [28] LOG:  checkpoint starting: time
2026-09-06 08:57:39.194 UTC [28] LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.213 s, sync=0.011 s, total=0.263 s; sync files=3, longest=0.009 s, average=0.004 s; distance=4 kB, estimate=6 kB
2026-09-06 09:08:36.310 UTC [28] LOG:  checkpoint starting: time
2026-09-06 09:08:36.745 UTC [28] LOG:  checkpoint complete: wrote 5 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.408 s, sync=0.011 s, total=0.436 s; sync files=5, longest=0.009 s, average=0.003 s; distance=5 kB, estimate=6 kB
2026-09-06 09:14:05.764 UTC [28] LOG:  checkpoint starting: time
2026-09-06 09:14:06.006 UTC [28] LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.210 s, sync=0.007 s, total=0.243 s; sync files=3, longest=0.004 s, average=0.003 s; distance=4 kB, estimate=6 kB
2026-09-06 09:35:48.379 UTC [56] ERROR:  relation "slot" does not exist at character 15
2026-09-06 09:35:48.379 UTC [56] STATEMENT:  SELECT * FROM SLOT;
2026-09-06 09:36:01.091 UTC [28] LOG:  checkpoint starting: time
2026-09-06 09:36:02.590 UTC [28] LOG:  checkpoint complete: wrote 15 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.450 s, sync=0.018 s, total=1.499 s; sync files=15, longest=0.010 s, average=0.002 s; distance=10 kB, estimate=10 kB
2026-09-06 09:36:48.217 UTC [56] ERROR:  syntax error at or near "DELTE" at character 1
2026-09-06 09:36:48.217 UTC [56] STATEMENT:  DELTE FROM cmpaign_parcticipants;
2026-09-06 09:36:52.272 UTC [56] ERROR:  relation "cmpaign_parcticipants" does not exist at character 13
2026-09-06 09:36:52.272 UTC [56] STATEMENT:  DELeTE FROM cmpaign_parcticipants;
2026-09-06 09:36:59.005 UTC [56] ERROR:  relation "cmpaign_participants" does not exist at character 13
2026-09-06 09:36:59.005 UTC [56] STATEMENT:  DELeTE FROM cmpaign_participants;
2026-09-06 09:41:30.596 UTC [28] LOG:  checkpoint starting: time
2026-09-06 09:41:32.055 UTC [28] LOG:  checkpoint complete: wrote 15 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.421 s, sync=0.014 s, total=1.460 s; sync files=15, longest=0.005 s, average=0.001 s; distance=11 kB, estimate=11 kB
2026-09-06 09:52:17.686 UTC [28] LOG:  checkpoint starting: time
2026-09-06 09:52:18.461 UTC [28] LOG:  checkpoint complete: wrote 7 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.661 s, sync=0.016 s, total=0.775 s; sync files=7, longest=0.008 s, average=0.003 s; distance=7 kB, estimate=10 kB
2026-09-06 10:03:08.214 UTC [28] LOG:  checkpoint starting: time
2026-09-06 10:03:08.651 UTC [28] LOG:  checkpoint complete: wrote 5 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.405 s, sync=0.013 s, total=0.438 s; sync files=5, longest=0.010 s, average=0.003 s; distance=6 kB, estimate=10 kB
2026-09-06 10:08:28.899 UTC [28] LOG:  checkpoint starting: time
2026-09-06 10:08:29.133 UTC [28] LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.207 s, sync=0.008 s, total=0.234 s; sync files=3, longest=0.006 s, average=0.003 s; distance=5 kB, estimate=9 kB
2026-09-06 12:29:18.802 UTC [56] ERROR:  syntax error at or near "DELTE" at character 1
2026-09-06 12:29:18.802 UTC [56] STATEMENT:  DELTE FROM cmpaign_parcticipants;
